Id,County,Province_State,Country_Region,Population,Weight,Date,Target,TargetValue
86521,,Alabama,US,4887871,0.064925505,2020/1/23,ConfirmedCases,0
86522,,Alabama,US,4887871,0.649255049,2020/1/23,Fatalities,0
86523,,Alabama,US,4887871,0.064925505,2020/1/24,ConfirmedCases,0
86524,,Alabama,US,4887871,0.649255049,2020/1/24,Fatalities,0
86525,,Alabama,US,4887871,0.064925505,2020/1/25,ConfirmedCases,0
86526,,Alabama,US,4887871,0.649255049,2020/1/25,Fatalities,0
86527,,Alabama,US,4887871,0.064925505,2020/1/26,ConfirmedCases,0
86528,,Alabama,US,4887871,0.649255049,2020/1/26,Fatalities,0
86529,,Alabama,US,4887871,0.064925505,2020/1/27,ConfirmedCases,0
86530,,Alabama,US,4887871,0.649255049,2020/1/27,Fatalities,0
86531,,Alabama,US,4887871,0.064925505,2020/1/28,ConfirmedCases,0
86532,,Alabama,US,4887871,0.649255049,2020/1/28,Fatalities,0
86533,,Alabama,US,4887871,0.064925505,2020/1/29,ConfirmedCases,0
86534,,Alabama,US,4887871,0.649255049,2020/1/29,Fatalities,0
86535,,Alabama,US,4887871,0.064925505,2020/1/30,ConfirmedCases,0
86536,,Alabama,US,4887871,0.649255049,2020/1/30,Fatalities,0
86537,,Alabama,US,4887871,0.064925505,2020/1/31,ConfirmedCases,0
86538,,Alabama,US,4887871,0.649255049,2020/1/31,Fatalities,0
86539,,Alabama,US,4887871,0.064925505,2020/2/1,ConfirmedCases,0
86540,,Alabama,US,4887871,0.649255049,2020/2/1,Fatalities,0
86541,,Alabama,US,4887871,0.064925505,2020/2/2,ConfirmedCases,0
86542,,Alabama,US,4887871,0.649255049,2020/2/2,Fatalities,0
86543,,Alabama,US,4887871,0.064925505,2020/2/3,ConfirmedCases,0
86544,,Alabama,US,4887871,0.649255049,2020/2/3,Fatalities,0
86545,,Alabama,US,4887871,0.064925505,2020/2/4,ConfirmedCases,0
86546,,Alabama,US,4887871,0.649255049,2020/2/4,Fatalities,0
86547,,Alabama,US,4887871,0.064925505,2020/2/5,ConfirmedCases,0
86548,,Alabama,US,4887871,0.649255049,2020/2/5,Fatalities,0
86549,,Alabama,US,4887871,0.064925505,2020/2/6,ConfirmedCases,0
86550,,Alabama,US,4887871,0.649255049,2020/2/6,Fatalities,0
86551,,Alabama,US,4887871,0.064925505,2020/2/7,ConfirmedCases,0
86552,,Alabama,US,4887871,0.649255049,2020/2/7,Fatalities,0
